Model,Study,Target,MSE_Mean,MSE_Std,MSE_CI_Low,MSE_CI_High,RMSE_Mean,RMSE_Std,RMSE_CI_Low,RMSE_CI_High,MAE_Mean,MAE_Std,MAE_CI_Low,MAE_CI_High,R2_Mean,R2_Std,R2_CI_Low,R2_CI_High,PCC_Mean,PCC_Std,PCC_CI_Low,PCC_CI_High
XGB,FLOBAK,synergy_hsa,10.6748,1.2894,9.0741,12.2755,3.2612,0.1987,3.0145,3.5079,2.3662,0.05,2.3041,2.4284,0.6683,0.049,0.6074,0.7292,0.8207,0.0305,0.7828,0.8586
XGB,FLOBAK,synergy_loewe,22.7149,1.7409,20.5536,24.8761,4.7626,0.1805,4.5386,4.9866,3.5222,0.0748,3.4293,3.6151,0.5756,0.0629,0.4976,0.6537,0.7638,0.0404,0.7136,0.8139
XGB,FLOBAK,synergy_zip,7.3283,0.6376,6.5367,8.1199,2.7046,0.1162,2.5603,2.8489,1.8992,0.0739,1.8075,1.9908,0.7345,0.0146,0.7163,0.7526,0.8593,0.0093,0.8477,0.8708
XGB,FORCINA,synergy_bliss,271.9401,27.6732,237.5848,306.2953,16.4696,0.8318,15.4369,17.5023,12.6105,0.4211,12.0877,13.1332,-0.0703,0.0308,-0.1086,-0.032,0.185,0.0567,0.1147,0.2553
XGB,FORCINA,synergy_hsa,198.2332,36.2429,153.239,243.2274,14.0201,1.2927,12.4152,15.6249,10.1278,0.8346,9.0917,11.1639,0.0232,0.0447,-0.0322,0.0787,0.3151,0.0664,0.2326,0.3975
XGB,FORCINA,synergy_loewe,200.694,34.9969,157.2466,244.1415,14.112,1.2432,12.5687,15.6553,10.2185,0.7482,9.2897,11.1474,0.0097,0.0486,-0.0507,0.0701,0.304,0.068,0.2196,0.3885
XGB,FORCINA,synergy_zip,271.9401,27.6732,237.5848,306.2953,16.4696,0.8318,15.4369,17.5023,12.6105,0.4211,12.0877,13.1332,-0.0703,0.0308,-0.1086,-0.032,0.185,0.0567,0.1147,0.2553
XGB,FRIEDMAN,synergy_bliss,255.3839,6.7713,246.9776,263.7903,15.9793,0.2128,15.7152,16.2435,11.3306,0.1297,11.1695,11.4916,0.829,0.0035,0.8246,0.8334,0.926,0.0018,0.9238,0.9282
XGB,FRIEDMAN,synergy_hsa,124.0082,2.3075,121.1435,126.8729,11.1354,0.1037,11.0067,11.2641,8.332,0.0395,8.283,8.381,0.6773,0.0028,0.6739,0.6808,0.8331,0.002,0.8306,0.8356
XGB,FRIEDMAN,synergy_loewe,129.9428,2.1956,127.2171,132.6686,11.3988,0.0964,11.2791,11.5186,8.5566,0.0509,8.4935,8.6198,0.4525,0.0037,0.4479,0.4571,0.6798,0.0028,0.6763,0.6833
XGB,FRIEDMAN,synergy_zip,79.1047,1.6149,77.0999,81.1096,8.8936,0.0908,8.7809,9.0064,6.5422,0.0429,6.4889,6.5955,0.7918,0.0024,0.7889,0.7948,0.9043,0.0016,0.9022,0.9063
XGB,NCATS_2D_3D,synergy_bliss,8.7709,5.1887,2.3293,15.2125,2.7109,1.1924,1.2306,4.1912,1.7243,0.8962,0.6117,2.8369,-1.0937,2.4581,-4.1454,1.9579,0.5526,0.3903,0.0681,1.0371
XGB,NCATS_2D_3D,synergy_hsa,10.6809,7.6935,1.1297,20.2321,2.9329,1.4419,1.1428,4.723,1.7728,0.9448,0.5998,2.9457,-0.2431,0.6031,-0.9918,0.5056,-0.0432,0.7391,-0.9607,0.8744
XGB,NCATS_2D_3D,synergy_loewe,28.7339,18.2914,6.0258,51.442,4.9114,2.1476,2.2451,7.5776,3.0499,1.384,1.3318,4.7681,-1.2585,1.912,-3.6322,1.1152,0.4179,0.487,-0.1867,1.0224
XGB,NCATS_2D_3D,synergy_zip,6.6297,6.3305,-1.2294,14.4889,2.2826,1.1915,0.8033,3.7618,1.5836,1.117,0.1969,2.9703,-6.4292,13.495,-23.1827,10.3243,0.8043,0.2312,0.5173,1.0913
XGB,NCATS_ES(FAKI_AURKI),synergy_bliss,24.2242,4.62,18.4885,29.9598,4.9013,0.4483,4.3447,5.4579,3.7373,0.1886,3.5032,3.9714,-0.1099,0.0718,-0.199,-0.0208,0.1223,0.0697,0.0358,0.2089
XGB,NCATS_ES(FAKI_AURKI),synergy_hsa,14.5698,4.1921,9.3654,19.7742,3.7834,0.506,3.1552,4.4115,2.7074,0.1917,2.4693,2.9454,-0.2062,0.091,-0.3192,-0.0933,0.0267,0.0656,-0.0548,0.1082
XGB,NCATS_ES(FAKI_AURKI),synergy_loewe,33.2928,1.2213,31.7765,34.809,5.769,0.1069,5.6363,5.9017,4.5216,0.1028,4.3939,4.6492,-0.058,0.0447,-0.1136,-0.0025,0.2046,0.0442,0.1496,0.2595
XGB,NCATS_ES(FAKI_AURKI),synergy_zip,14.77,1.8176,12.5135,17.0265,3.8363,0.2295,3.5514,4.1212,2.9818,0.1326,2.8172,3.1465,-0.0741,0.0476,-0.1332,-0.015,0.1641,0.0616,0.0876,0.2405
XGB,NCATS_ES(NAMPT+PARP),synergy_bliss,148.3169,9.0801,137.0443,159.5895,12.173,0.3685,11.7155,12.6304,8.4416,0.1367,8.272,8.6113,0.1404,0.0562,0.0706,0.2101,0.4314,0.0401,0.3817,0.4812
XGB,NCATS_ES(NAMPT+PARP),synergy_hsa,71.0458,9.7478,58.9442,83.1474,8.4085,0.5856,7.6815,9.1355,5.5933,0.2142,5.3275,5.8592,0.0999,0.0652,0.019,0.1809,0.4027,0.0421,0.3505,0.4549
XGB,NCATS_ES(NAMPT+PARP),synergy_loewe,150.8734,15.0938,132.135,169.6118,12.2676,0.6165,11.5022,13.0329,8.4023,0.2757,8.06,8.7445,0.163,0.0421,0.1107,0.2153,0.4451,0.041,0.3941,0.496
XGB,NCATS_ES(NAMPT+PARP),synergy_zip,93.9525,5.7774,86.7801,101.125,9.6884,0.2964,9.3205,10.0563,6.9909,0.0558,6.9216,7.0602,0.2104,0.0283,0.1753,0.2455,0.4835,0.0245,0.453,0.5139
XGB,NCATS_HL,synergy_bliss,483.6011,116.5591,338.897,628.3052,21.8369,2.5984,18.6111,25.0627,13.0882,0.8177,12.073,14.1034,0.1882,0.1384,0.0163,0.36,0.5023,0.0896,0.391,0.6136
XGB,NCATS_HL,synergy_hsa,67.9904,7.7873,58.3228,77.658,8.232,0.4733,7.6444,8.8196,5.9087,0.1777,5.6881,6.1293,-0.0867,0.0468,-0.1448,-0.0286,0.2075,0.0448,0.1519,0.2631
XGB,NCATS_HL,synergy_loewe,203.0806,9.5619,191.2099,214.9513,14.2467,0.3345,13.8314,14.662,11.0461,0.2619,10.721,11.3712,0.0848,0.0529,0.0192,0.1505,0.3658,0.0394,0.3169,0.4148
XGB,NCATS_HL,synergy_zip,445.0955,110.0436,308.4802,581.7108,20.9408,2.5645,17.7571,24.1246,12.1019,0.6743,11.2648,12.939,0.2294,0.1377,0.0584,0.4003,0.5442,0.0816,0.4429,0.6455
XGB,ONEIL,synergy_bliss,22.479,0.997,21.2412,23.7168,4.74,0.1049,4.6098,4.8703,3.0276,0.0383,2.9801,3.0751,0.5466,0.0119,0.5318,0.5614,0.7398,0.0085,0.7293,0.7504
XGB,ONEIL,synergy_hsa,23.0219,1.0833,21.6771,24.3668,4.7968,0.1124,4.6573,4.9363,3.0656,0.0369,3.0198,3.1114,0.5383,0.0161,0.5183,0.5583,0.7342,0.0112,0.7202,0.7481
XGB,ONEIL,synergy_loewe,87.889,2.9084,84.2783,91.4997,9.3736,0.1547,9.1816,9.5657,6.1728,0.0745,6.0804,6.2653,0.6221,0.0176,0.6003,0.6439,0.7897,0.0118,0.775,0.8043
XGB,ONEIL,synergy_zip,13.0818,0.207,12.8248,13.3389,3.6168,0.0286,3.5812,3.6523,2.6279,0.016,2.608,2.6478,0.6134,0.0079,0.6036,0.6231,0.7842,0.0053,0.7776,0.7907
XGB,YOHE,synergy_bliss,49.8222,14.0766,32.3466,67.2978,6.984,1.0227,5.7144,8.2536,5.4371,0.735,4.5245,6.3496,0.1451,0.2825,-0.2056,0.4959,0.4997,0.1848,0.2703,0.7291
XGB,YOHE,synergy_hsa,26.1361,6.9675,17.4862,34.786,5.0596,0.7327,4.15,5.9692,3.7613,0.5389,3.0922,4.4304,0.1445,0.1611,-0.0554,0.3445,0.5192,0.1036,0.3906,0.6477
XGB,YOHE,synergy_loewe,56.4597,17.1753,35.1372,77.7823,7.4298,1.1215,6.0375,8.8221,5.1377,0.7508,4.2055,6.0698,-0.2317,0.4312,-0.7671,0.3036,0.3361,0.0737,0.2446,0.4276
XGB,YOHE,synergy_zip,44.574,10.6087,31.4037,57.7443,6.6276,0.8054,5.6278,7.6275,5.2883,0.5905,4.5552,6.0215,0.1265,0.2382,-0.1692,0.4222,0.4902,0.1605,0.291,0.6894
CGMS,ALMANAC,synergy_bliss,16.279,0.6922,15.4196,17.1383,4.0338,0.0857,3.9274,4.1402,2.8751,0.1025,2.7478,3.0023,0.5538,0.0188,0.5305,0.5771,0.745,0.0122,0.7299,0.7601
CGMS,ASTRAZENECA,synergy_bliss,107987.631,186556.4929,-123615.7145,339590.9765,208.2341,254.2168,-107.3672,523.8354,13.0551,5.071,6.7596,19.3505,-0.0292,0.0591,-0.1026,0.0443,0.1129,0.0642,0.0333,0.1926
CGMS,DYALL,synergy_bliss,31.1724,12.4226,15.7502,46.5946,5.4882,1.0258,4.2147,6.7616,4.307,0.8012,3.3123,5.3017,0.0314,0.0852,-0.0744,0.1373,0.2838,0.1062,0.152,0.4156
CGMS,FALLAHI-SICHANI,synergy_bliss,90.8091,56.5669,20.5833,161.0349,8.907,3.3873,4.7018,13.1123,7.2038,2.9906,3.4911,10.9165,-0.5015,0.9782,-1.7159,0.7129,0.4177,0.5957,-0.3218,1.1572
CGMS,FLOBAK,synergy_bliss,18.0444,2.3071,15.1803,20.9086,4.2393,0.2704,3.9036,4.5749,3.1526,0.1352,2.9848,3.3204,0.602,0.0216,0.5753,0.6288,0.7788,0.0146,0.7607,0.7969
CGMS,FORCINA,synergy_bliss,243.1,22.3536,215.3488,270.8512,15.5752,0.7174,14.6846,16.4657,11.935,0.1514,11.747,12.123,0.0426,0.0216,0.0158,0.0694,0.2244,0.0529,0.1587,0.2901
CGMS,FRIEDMAN,synergy_bliss,105.1067,11.3768,90.9828,119.2307,10.2376,0.5467,9.5588,10.9163,7.4224,0.4811,6.825,8.0197,0.9295,0.0083,0.9193,0.9398,0.9648,0.0045,0.9593,0.9704
CGMS,NCATS_2D_3D,synergy_bliss,11.2865,8.6398,0.5605,22.0126,3.0233,1.4651,1.2044,4.8421,2.2038,0.89,1.0989,3.3087,-1.0252,2.2494,-3.8177,1.7673,0.2398,0.7167,-0.65,1.1296
CGMS,NCATS_ES(FAKI_AURKI),synergy_bliss,21.8631,3.8273,17.1116,26.6145,4.6594,0.391,4.174,5.1448,3.4769,0.0681,3.3924,3.5614,-0.0023,0.0039,-0.0071,0.0025,0.0109,0.0409,-0.0399,0.0616
CGMS,NCATS_ES(NAMPT+PARP),synergy_bliss,146.4147,11.329,132.3502,160.4792,12.0913,0.4649,11.5141,12.6684,8.5489,0.2293,8.2642,8.8336,0.1538,0.0244,0.1235,0.1841,0.4048,0.0279,0.3701,0.4395
CGMS,NCATS_HL,synergy_bliss,457.7562,112.0604,318.6371,596.8753,21.2359,2.6066,17.9998,24.4719,12.3463,0.7471,11.4188,13.2737,0.2399,0.0887,0.1297,0.35,0.5013,0.0795,0.4026,0.6
CGMS,ONEIL,synergy_bliss,21.4925,2.1516,18.8214,24.1636,4.63,0.2367,4.3361,4.9238,2.9122,0.1976,2.6668,3.1575,0.5659,0.0465,0.5081,0.6236,0.7599,0.0269,0.7265,0.7932
CGMS,YOHE,synergy_bliss,66.5346,19.5229,42.2976,90.7716,8.0688,1.1953,6.5849,9.5528,6.3408,0.8299,5.3105,7.3712,-0.0581,0.0923,-0.1727,0.0564,0.0544,0.1115,-0.0841,0.1928
CGMS,ALMANAC,synergy_hsa,13.0745,0.1022,12.9477,13.2014,3.6158,0.0141,3.5983,3.6334,2.5664,0.0072,2.5574,2.5754,0.6148,0.0049,0.6087,0.6209,0.7842,0.0031,0.7804,0.7881
CGMS,ASTRAZENECA,synergy_hsa,77.1189,4.6289,71.3723,82.8655,8.7777,0.2676,8.4454,9.1099,5.4369,0.1083,5.3025,5.5714,0.1425,0.0654,0.0613,0.2236,0.3794,0.0859,0.2728,0.4861
CGMS,DYALL,synergy_hsa,17.2115,6.9761,8.5509,25.8721,4.0551,0.8761,2.9674,5.1428,3.0094,0.5717,2.2996,3.7191,-0.0022,0.0111,-0.016,0.0117,0.082,0.1848,-0.1474,0.3115
CGMS,FALLAHI-SICHANI,synergy_hsa,166.6449,87.8656,57.5628,275.727,12.4485,3.4177,8.2054,16.6915,9.5927,2.3585,6.6647,12.5207,-1.4165,2.6464,-4.7019,1.8689,0.7779,0.0832,0.6746,0.8812
CGMS,FLOBAK,synergy_hsa,15.4888,2.1834,12.7782,18.1994,3.9256,0.2803,3.5776,4.2736,2.8774,0.174,2.6614,3.0934,0.5222,0.0534,0.4559,0.5885,0.7269,0.0361,0.6821,0.7718
CGMS,FORCINA,synergy_hsa,179.4897,32.8103,138.7569,220.2226,13.3365,1.2756,11.7528,14.9202,9.5243,0.7627,8.5774,10.4711,0.1175,0.0333,0.0762,0.1588,0.3517,0.0493,0.2905,0.4128
CGMS,FRIEDMAN,synergy_hsa,90.2889,5.026,84.0493,96.5286,9.4983,0.2671,9.1667,9.8299,6.9734,0.1939,6.7327,7.2142,0.7652,0.0101,0.7526,0.7777,0.8761,0.0051,0.8697,0.8825
CGMS,NCATS_2D_3D,synergy_hsa,23.8033,15.1872,4.9489,42.6577,4.5595,1.7363,2.4039,6.715,3.1045,1.3391,1.442,4.7669,-1.7274,1.5269,-3.623,0.1682,0.1389,0.6442,-0.6608,0.9386
CGMS,NCATS_ES(FAKI_AURKI),synergy_hsa,12.1642,3.7725,7.4807,16.8476,3.4517,0.4999,2.8311,4.0723,2.3962,0.1264,2.2393,2.5531,0.0016,0.008,-0.0083,0.0115,0.1045,0.05,0.0424,0.1667
CGMS,NCATS_ES(NAMPT+PARP),synergy_hsa,67.2351,10.8768,53.732,80.7382,8.1727,0.6647,7.3475,8.9979,5.4154,0.206,5.1596,5.6712,0.1531,0.0182,0.1305,0.1757,0.3998,0.023,0.3713,0.4283
CGMS,NCATS_HL,synergy_hsa,59.6385,9.1278,48.3067,70.9703,7.6999,0.5921,6.9647,8.435,5.4578,0.2069,5.201,5.7146,0.0516,0.0445,-0.0037,0.1068,0.2411,0.0783,0.1439,0.3382
CGMS,ONEIL,synergy_hsa,20.2754,1.6797,18.1901,22.3607,4.4989,0.1875,4.2662,4.7317,2.8574,0.0741,2.7654,2.9494,0.5934,0.0312,0.5547,0.6322,0.7773,0.0177,0.7554,0.7992
CGMS,YOHE,synergy_hsa,35.0185,4.7209,29.1576,40.8794,5.9032,0.4138,5.3894,6.4169,4.5718,0.5559,3.8816,5.262,-0.1869,0.2475,-0.4941,0.1204,0.2545,0.2365,-0.0391,0.5481
CGMS,ALMANAC,synergy_loewe,79.4378,2.7087,76.075,82.8006,8.9115,0.1527,8.7219,9.1011,5.5772,0.0962,5.4579,5.6966,0.6246,0.0094,0.6129,0.6362,0.791,0.0061,0.7834,0.7986
CGMS,ASTRAZENECA,synergy_loewe,828.0754,758.814,-113.9656,1770.1164,25.903,12.5343,10.3421,41.4639,9.0284,0.2355,8.7359,9.3208,0.0468,0.0812,-0.0541,0.1476,0.2268,0.1786,0.005,0.4485
CGMS,DYALL,synergy_loewe,213.1094,118.2174,66.3467,359.8721,13.7998,4.7619,7.8881,19.7115,10.6417,3.5991,6.1735,15.1099,0.0875,0.1628,-0.1146,0.2896,0.3368,0.2721,-0.001,0.6746
