drug_name,CID,ex_drug_id
371942-69-7,9956222,324
Triciribine,65399,325
CHEBI:47495,3541,326
CCT128930,17751819,327
Triciribinephosphate,43860,328
Ipatasertib,24788740,329
AZD5363,25227436,330
MK-2206,24964624,331
A-674563,11314340,332
A-443654,10172943,333
937174-76-0,16725726,334
AT7867,11175137,335
473382-39-7,10271028,336
"Akt-I-1,2",9819282,337
AZD-26,56953649,338
Merck-22-6,10240275,339
Akt inhibitor VIII,135398501,340
915019-65-7,11977753,341
CHEMBL2140838,57519528,342
CHEMBL2140543,57519554,343
Torin 1,49836027,344
CHEMBL3348822,73265233,345
NCGC00346481-01,73265228,346
NCGC00021305-08,73265225,347
NCGC00167518-03,73265234,348
WYE-687,25229450,349
WAY-600,25229526,350
Torin 2,51358113,351
SCHEMBL2929203,57441923,352
OSI-027,135398516,353
Ku-0063794,16736978,354
WYE-354,44219749,355
XL765,49867926,356
1144068-46-1,25260757,357
SCHEMBL20734874,73265224,358
1224844-38-5,45375953,359
SCHEMBL147320,389644,360
PP242,135565635,361
Palomid 529,11998575,362
PHT-427,44240850,363
OSU-03012,10027278,364
BX-912,11754511,365
ZINC208012538,ZINC,366
PDK1 inhibitor,49766501,367
AZD7545,16741245,368
M77976,764764,369
503468-95-9,11327430,370
KU-0060648,11964036,371
Nsc 23766,16759159,372
EHT-1864,9938202,373
VX-702,10341154,374
152121-47-6,176155,375
209410-46-8,3038525,376
Doramapimod,156422,377
PH-797804,22049997,378
RWJ-67657,3008319,379
Talmapimod,9871074,380
SB 202190,5169,381
Ralimetinib,11539025,382
449811-92-1,11406590,383
193746-75-7,9863367,384
SD-06,9865587,385
1H-Indole-5-carboxamide,14973220,386
TAK-715,9952773,387
SB 239063,5166,388
EO 1428,9801969,389
FMK-MEA,56965963,390
CHEMBL2143037,57519550,391
SL 0101-1,10459196,392
S-99,59437537,393
CHEMBL3186846,73265334,394
Cot inhibitor-2,44143370,395
SB-747651A,11393719,396
ZINC17545571,ZINC,397
7218/4/4,581,398
NCGC00346559-01,73265320,399
94875-80-6,969516,400
